DEPART ,Medical Care Facility,Amer One,Jackson Crossing,The Water Store,Baker College,Park Forest,TAC,Meijer,Oak's,Commons,Polly's,ARRIVAL 
6:15,6:19,6:21,6:25,6:32,6:34Ê,6:36,6:40,6:44,6:52,6:56,7:03,7:10
7:15,7:19,7:21,7:25,7:32,7:34,7:36,7:40,7:44,7:52,7:56,8:03,8:10
8:15,8:19,8:21,8:25,8:32,8:34,8:36,8:40,8:44,8:52,8:56,9:03,9:10
9:15,9:19,9:21,9:25,9:32,9:34,9:36,9:40,9:44,9:52,9:56,10:03,10:10
10:15,10:19,10:21,10:25,10:32,10:34,10:36,10:40,10:44,10:52,10:56,11:03,11:10
11:15,11:19,11:21,11:25,11:32,11:34,11:36,11:40,11:44,11:52,11:56,11:03,11:10
12:15,12:19,12:21,12:25,12:32,12:34,12:36,12:40,12:44,12:52,12:56,1:03,1:10
1:15,1:19,1:21,1:25,1:32,1:34,1:36,1:40,1:44,1:52,1:56,2:03,2:10
2:15,2:19,2:21,2:25,2:32,2:34,2:36,2:40,2:44,2:52,2:56,3:03,3:10
3:15,3:19,3:21,3:25,3:32,3:34,3:36,3:40,3:44,3:52,3:56,4:03,4:10
4:15,4:19,4:21,4:25,4:32,4:34,4:36,4:40,4:44,4:52,4:56,5:03,5:10
5:15,5:19,5:21,5:25,5:32,5:34,5:36,5:40,5:44,5:52,5:56,6:03,6:10
Saturday,,,,,,,,,,,,
10:15,10:19,10:21,10:25,10:32,10:34,10:36,10:40,10:44,10:52,10:56,11:03,11:10
11:15,11:19,11:21,11:25,11:32,11:34,11:36,11:40,11:44,11:52,11:56,11:03,11:10
12:15,12:19,12:21,12:25,12:32,12:34,12:36,12:40,12:44,12:52,12:56,1:03,1:10
1:15,1:19,1:21,1:25,1:32,1:34,1:36,1:40,1:44,1:52,1:56,2:03,2:10
2:15,2:19,2:21,2:25,-,-,-,-,-,-,-,-,3:10
3:15,3:19,3:21,3:25,3:32,3:34,3:36,3:40,3:44,3:52,3:56,4:03,4:10
4:15,4:19,4:21,4:25,4:32,4:34,4:36,4:40,4:44,4:52,4:56,5:03,5:10
5:15,5:19,5:21,5:25,5:32,5:34,5:36,5:40,5:44,5:52,5:56,6:03,6:10
