DEPART ,COOPER NORTH,WOODLAND HILLS,PLEASANT NORTH,GANSON ELM,Armory Arts/Goodwill,ARRIVAL 
6:15,6:19,6:23,6:30,6:32,6:35,6:43
6:45,6:49,6:53,7:00,7:02,7:05,7:13
7:15,7:19,7:23,7:30,7:32,7:35,7:43
7:45,7:49,7:53,8:00,8:02,8:05,8:13
8:15,8:19,8:23,8:30,8:32,8:35,8:43
8:45,8:49,8:53,9:00,9:02,9:05,9:13
9:15,9:19,9:23,9:30,9:32,9:35,9:43
9:45,9:49,9:53,10:00,10:02,10:05,10:13
!10:15,10:19,10:23,10:30,10:32,10:35,10:43
10:45,10:49,10:53,11:00,11:02,11:05,11:13
11:15,11:19,11:23,11:30,11:32,11:35,11:43
11:45,11:49,11:53,12:00,12:02,12:05,12:13
12:15,12:19,12:23,12:30,12:32,12:35,12:43
12:45,12:49,12:53,1:00,1:02,1:05,1:13
1:15,1:19,1:23,1:30,1:32,1:35,1:43
1:45,1:49,1:53,2:00,2:02,2:05,2:13
2:15,2:19,2:23,2:30,2:32,2:35,2:43
2:45,2:49,2:53,3:00,3:02,3:05,3:13
3:15,3:19,3:23,3:30,3:32,3:35,3:43
3:45,3:49,3:53,4:00,4:02,4:05,4:13
4:15,4:19,4:23,4:30,4:32,4:35,4:43
4:45,4:49,4:53,5:00,5:02,5:05,5:13
5:15,5:19,5:23,5:30,5:32,5:35,5:43
5:45,5:49,5:53,6:00,6:02,6:05,6:13
