DEPART ,E. MICH ELM,K-MART EAST,MEIJER EAST,PRINGLE ELM,STATE BLDG.,ARRIVAL 
7:15,7:20,7:23,7:27,7:35,7:40,7:43
7:45,7:50,7:53,7:57,8:05,8:10,8:13
8:15,8:20,8:23,8:27,8:35,8:40,8:43
8:45,8:50,8:53,8:57,9:05,9:10,9:13
9:15,9:20,9:23,9:27,9:35,9:40,9:43
9:45,9:50,9:53,9:57,10:05,10:10,10:13
!10:15,10:20,10:23,10:27,10:35,10:40,10:43
10:45,10:50,10:53,10:57,11:05,11:10,11:13
11:15,11:20,11:23,11:27,11:35,11:40,11:43
11:45,11:50,11:53,11:57,12:05,12:10,12:13
12:15,12:20,12:23,12:27,12:35,12:40,12:43
12:45,12:50,12:53,12:57,1:05,1:10,1:13
1:15,1:20,1:23,1:27,1:35,1:40,1:43
1:45,1:50,1:53,1:57,2:05,2:10,2:13
2:15,2:20,2:23,2:27,2:35,2:40,2:43
2:45,2:50,2:53,2:57,3:05,3:10,3:13
3:15,3:20,3:23,3:27,3:35,3:40,3:43
3:45,3:50,3:53,3:57,4:05,4:10,4:13
4:15,4:20,4:23,4:27,4:35,4:40,4:43
4:45,4:50,4:53,4:57,5:05,5:10,5:13
5:15,5:20,5:23,5:27,5:35,5:40,5:43
5:45,5:50,5:53,5:57,6:05,6:10,6:13
