Meijer East,Veterans Clinic / Allegiance Health,"Page/Fifth Street, MC",MC High,Meijer East
7:00,7:06,7:07,7:10,7:25
7:30,7:36,7:37,7:40,7:55
8:00,8:06,8:07,8:10,8:25
8:30,8:36,8:37,8:40,8:55
9:00,9:06,9:07,9:10,9:25
9:30,9:36,9:37,9:40,9:55
1:00,1:06,1:07,1:10,1:25
-,1:36,1:37,1:40,1:55
2:00,2:06,2:07,2:10,2:25
2:30,2:36,2:37,2:40,2:55
3:00,3:06,3:07,3:10,3:25
3:30,3:36,3:37,3:40,3:55
4:00,4:06,4:07,4:10,4:25
Saturday,,,,
Meijer East,Veterans Clinic / Allegiance Health,"Page/Fifth Street, MC",MC High,Meijer East
10:00,10:06,10:07,10:10,10:25
10:30,10:36,10:37,10:40,10:55
11:00,11:06,11:07,11:10,11:25
11:30,11:36,11:37,11:40,11:55
12:00,12:06,12:07,12:10,12:25
12:30,12:36,12:37,10:40,12:55
1:00,1:06,1:07,1:10,1:25
1:30,1:36,1:37,1:40,1:55
2:00,2:06,2:07,2:10,2:25
2:30,2:36,2:37,2:40,2:55
3:00,3:06,3:07,3:10,3:25
3:30,3:36,3:37,3:40,3:55
4:00,4:06,4:07,4:10,4:25
