DEPART ,FIRST MORELL,PARKSIDE SHARP PARK,S.WEST HIGH,MORRELL SIX,WASHINGTON SECOND,ARRIVAL 
6:15,6:20,6:25,6:30,6:33,6:40,6:43
6:45,6:50,6:55,7:00,7:03,7:10,7:13
7:15,7:20,7:25,7:30,7:33,7:40,7:43
7:45,7:50,7:55,8:00,8:03,8:10,8:13
8:15,8:20,8:25,8:30,8:33,8:40,8:43
8:45,8:50,8:55,9:00,9:03,9:10,9:13
9:15,9:20,9:25,9:30,9:33,9:40,9:43
9:45,9:50,9:55,10:00,10:03,10:10,10:13
10:15,10:20,10:25,10:30,10:33,10:40,10:43
10:45,10:50,10:55,11:00,11:03,11:10,11:13
11:15,11:20,11:25,11:30,11:33,11:40,11:43
11:45,11:50,11:55,12:00,12:03,12:10,12:13
12:15,12:20,12:25,12:30,12:33,12:40,12:43
12:45,12:50,12:55,1:00,1:03,1:10,1:13
1:15,1:20,1:25,1:30,1:33,1:40,1:43
1:45,1:50,1:55,2:00,2:03,2:10,2:13
2:15,2:20,2:25,2:30,2:33,2:40,2:43
2:45,2:50,2:55,3:00,3:03,3:10,3:13
3:15,3:20,3:25,3:30,3:33,3:40,3:43
3:45,3:50,3:55,4:00,4:03,4:10,4:13
4:15,4:20,4:25,4:30,4:33,4:40,4:43
4:45,4:50,4:55,5:00,5:03,5:10,5:13
5:15,5:20,5:25,5:30,5:33,5:40,5:43
5:45,5:50,5:55,6:00,6:03,6:10,6:13
