DEPART ,Medical Care Facility,American 1,West Bay APTS.,Kroger,Jackson Crossing Target Back Door,Walmart & West Wood Mall,Brown's Pharmacy,Ganson Baptist Church,Reed Manor,ARRIVAL 
6:15,6:18,6:23,6:25,6:27,6:30,6:40,6:42,6:47,6:50,6:55
7:00,7:03,7:08,7:10,7:12,7:15,7:25,7:27,7:32,7:35,7:43
7:45,7:48,7:53,7:56,7:58,8:00,8:10,8:12,8:17,8:20,8:25
8:30,8:33,8:38,8:40,8:42,8:45,8:55,8:57,9:02,9:05,9:10
9:15,9:18,9:23,9:25,9:27,9:30,9:40,9:42,9:47,9:50,9:55
10:00,9:03,10:08,10:10,10:12,10:15,10:25,10:27,10:32,10:35,10:43
10:45,10:48,10:53,10:56,10:58,11:00,11:10,11:12,11:17,11:20,11:25
11:30,11:33,11:38,11:40,11:42,11:45,11:55,11:57,12:02,12:05,12:10
12:15,12:18,12:23,12:25,12:27,12:30,12:40,12:42,12:47,12:50,12:55
1:00,1:03,1:08,1:10,1:12,1:15,1:25,1:27,1:32,1:35,1:43
1:45,1:48,1:53,1:56,1:58,2:00,2:10,2:12,2:17,2:20,2:25
2:30,2:33,2:38,2:40,2:42,2:45,2:55,2:57,3:02,3:05,3:10
3:15,3:18,3:23,3:25,3:37,3:30,3:40,3:42,3:47,3:50,3:55
4:00,4:03,4:08,4:10,4:12,4:15,4:25,4:27,4:32,4:35,4:43
4:45,4:48,4:53,4:56,4:58,5:00,5:10,5:12,5:17,5:20,5:25
5:30,5:33,5:38,5:40,5:42,5:45,5:55,5:57,6:02,6:05,6:10
