DEPART ,REED MANOR,WESTWOOD MALL,POLLY'S SPRING ARBOR,WEST AVE. FRANKLIN,W. MICH. BLACKSONE,ARRIVAL 
6:15,6:18,6:23,6:30,6:33,6:40,6:43
6:45,6:48,6:53,7:00,7:03,7:10,7:13
7:15,7:18,7:23,7:30,7:33,7:40,7:43
7:45,7:48,7:53,8:00,8:03,8:10,8:13
8:15,8:18,8:23,8:30,8:33,8:40,8:43
8:45,8:48,8:53,9:00,9:03,9:10,9:13
9:15,9:18,9:23,9:30,9:33,9:40,9:43
9:45,9:48,9:53,10:00,10:03,10:10,10:13
!10:15,10:18,10:23,10:30,10:33,10:40,10:43
10:45,10:48,10:53,11:00,11:03,11:10,11:13
11:15,11:18,11:23,11:30,11:33,11:40,11:43
11:45,11:48,11:53,12:00,12:03,12:10,12:13
12:15,12:18,12:23,12:30,12:33,12:40,12:43
12:45,12:48,12:53,1:00,1:03,1:10,1:13
1:15,1:18,1:23,1:30,1:33,1:40,1:43
1:45,1:48,1:53,2:00,2:03,2:10,2:13
2:15,2:18,2:23,2:30,2:33,2:40,2:43
2:45,2:48,2:53,3:00,3:03,3:10,3:13
3:15,3:18,3:23,3:30,3:33,3:40,3:43
3:45,3:48,3:53,4:00,4:03,4:10,4:13
4:15,4:18,4:23,4:30,4:33,4:40,4:43
4:45,4:48,4:53,5:00,5:03,5:10,5:13
5:15,5:18,5:23,5:30,5:33,5:40,5:43
5:45,5:48,5:53,6:00,6:03,6:10,6:13
